callnumber,city,website,,,
WRDC,"Raleigh - Durham, NC",http://www.myrdctv.com/,,,Sinclair
KAME,"Reno, NV",http://www.my21reno.com/,,,Sinclair
WCWN,"Albany - Schenectady - Troy, NY",http://www.cwalbany.com/,,,Sinclair
WSTQ,"Syracuse, NY",http://www.cnycentral.com/,,,Sinclair
KRXI,"Reno, NV",http://www.foxreno.com/,,,Sinclair
WSTM,"Syracuse, NY",http://www.cnycentral.com/,,,Sinclair
KTCW,"Eugene, OR",http://www.sbgi.net/,,,Sinclair
KOMO,"Seattle - Tacoma, WA",http://www.komonews.com/,,,Sinclair
KBSI,Paducah-Cape Girard-Harsbg,http://www.kbsi23.com/,,,Sinclair
WRLH,"Richmond - Petersburg, VA",http://www.foxrichmond.com/,,,Sinclair
KYUU,"Boise, ID",http://www.cwtreasurevalley.com/,,,Sinclair
WBUI,"Champaign - Springfield - Decatur, IL",http://www.cw23tv.com/,,,Sinclair
WACH,"Columbia, SC",http://www.wach.com/,,,Sinclair
WDBB,"Birmingham, AL",http://www.wtto21.com/,,,Sinclair
WEAR,"Mobile, AL / Pensacola, FL",http://www.weartv.com/,,,Sinclair
WDKA,Paducah-Cape Girard-Harsbg,http://www.mywdka.com/,,,Sinclair
KIMA,"Yakima - Pasco - Richland - Kennewick, WA",http://www.kimatv.com/,,,Sinclair
KGAN,"Cedar Rapids - Waterloo - Dubuque, IA",http://www.cbs2iowa.com/,,,Sinclair
KPIC,"Eugene, OR",http://www.kpic.com/,,,Sinclair
KLEW,"Spokane, WA",http://www.klewtv.com/,,,Sinclair
KAAS-LD,"Wichita - Hutchinson, KS",http://www.foxkansas.com/,,,Sinclair
KOKH,"Oklahoma City, OK",http://www.okcfox.com/,,,Sinclair
KVCW,"Las Vegas, NV",http://www.thecwlasvegas.tv/,,,Sinclair
KBTV,"Beaumont - Port Arthur, TX",http://fox4beaumont.com/,,,Sinclair
KVII,"Amarillo, TX",http://abc7amarillo.com/,,,Sinclair
KDNL,"St. Louis, MO",http://www.abcstlouis.com/,,,Sinclair
KATU,"Portland, OR",http://www.katu.com/,,,Sinclair
WRGB,"Albany - Schenectady - Troy, NY",http://www.cbs6albany.com/,,,Sinclair
KBFX,"Bakersfield, CA",http://www.bakersfieldnow.com/kbfx,,,Sinclair
KTUL,"Tulsa, OK",http://www.ktul.com/,,,Sinclair
KRNV,"Reno, NV",http://www.mynews4.com/,,,Sinclair
KFRE,"Fresno - Visalia, CA",http://www.kmph.com/,,,Sinclair
WBFF,"Baltimore, MD",http://www.foxbaltimore.com/,,,Sinclair
WBMA,"Birmingham, AL",http://www.abc3340.com/,,,Sinclair
KVVK,"Yakima - Pasco - Richland - Kennewick, WA",http://www.kunwtv.com/,,,Sinclair
KAAS,"Wichita - Hutchinson, KS",http://www.foxkansas.com/,,,Sinclair
KMYS,"San Antonio, TX",http://www.kmys.tv/,,,Sinclair
WCCU,"Champaign - Springfield - Decatur, IL",http://www.foxillinois.com/,,,Sinclair
KFXA,"Cedar Rapids - Waterloo - Dubuque, IA",http://fox28iowa.com/,,,Sinclair
KMPH,"Fresno - Visalia, CA",http://www.kmph.com/,,,Sinclair
KDSM,"Des Moines - Ames, IA",http://www.kdsm.com/,,,Sinclair
KSAS,"Wichita - Hutchinson, KS",http://www.foxkansas.com/,,,Sinclair
KOCW,"Wichita - Hutchinson, KS",http://www.foxkansas.com/,,,Sinclair
KUNP-LD,"Portland, OR",http://www.kunptv.com/,,,Sinclair
KOCB,"Oklahoma City, OK",http://www.cwokc.com/,,,Sinclair
KFDM,"Beaumont - Port Arthur, TX",http://www.kfdm.com/,,,Sinclair
KTVL,"Medford - Klamath Falls, OR",http://www.ktvl.com/,,,Sinclair
WSMH,"Flint - Saginaw - Bay City, MI",http://www.wsmh.com/,,,Sinclair
WCHS,"Charleston - Huntington, WV",http://www.wchstv.com/,,,Sinclair
KPTM,"Omaha, NE",http://www.kptm.com/,,,Sinclair
WSET,"Roanoke - Lynchburg, VA",http://www.wset.com/,,,Sinclair
WRGT,"Dayton, OH",http://www.fox45now.com/,,,Sinclair
KHQA,"Quincy, IL / Hannibal, MO / Keokuk, IA",http://khqa.com/,,,Sinclair
WABM,"Birmingham, AL",http://www.wabm68.com/,,,Sinclair
KEYE,"Austin, TX",http://www.cbsaustin.com/,,,Sinclair
KCBY,"Eugene, OR",http://www.kcby.com/,,,Sinclair
KEPR,"Yakima - Pasco - Richland - Kennewick, WA",http://www.keprtv.com/,,,Sinclair
KABB,"San Antonio, TX",http://www.foxsanantonio.com/,,,Sinclair
WRSP,"Champaign - Springfield - Decatur, IL",http://www.foxillinois.com/,,,Sinclair
KSAS-LD,"Wichita - Hutchinson, KS",http://www.foxkansas.com/,,,Sinclair
KTVO,"Ottumwa, IA / Kirksville, MO",http://ktvo.com/,,,Sinclair
KMCB,"Eugene, OR",http://www.sbgi.net/,,,Sinclair
KATV,"Little Rock - Pine Bluff, AR",http://www.katv.com/,,,Sinclair
KMEG,"Sioux City, IA",http://www.siouxlandnews.com/,,,Sinclair
KMTR,"Eugene, OR",http://www.kmtr.com/,,,Sinclair
KMTW,"Wichita - Hutchinson, KS",http://mytvwichita.com/,,,Sinclair
KXVO,"Omaha, NE",http://www.cw15kxvo.com/,,,Sinclair
KMYU,"Salt Lake City, UT",http://www.kmyu.tv/,,,Sinclair
KPTH,"Sioux City, IA",http://www.siouxlandnews.com/,,,Sinclair
KFOX,"El Paso, TX",http://www.kfoxtv.com/,,,Sinclair
KBAK,"Bakersfield, CA",http://bakersfieldnow.com/,,,Sinclair
KUNW,"Yakima - Pasco - Richland - Kennewick, WA",http://www.kunwtv.com/,,,Sinclair
KUNS,"Seattle - Tacoma, WA",http://www.univisionseattle.com/,,,Sinclair
KVIH,"Amarillo, TX",http://abc7amarillo.com/,,,Sinclair
KUTV,"Salt Lake City, UT",http://kutv.com/,,,Sinclair
KORX,"Yakima - Pasco - Richland - Kennewick, WA",http://www.kunwtv.com/,,,Sinclair
KVAL,"Eugene, OR",http://www.kval.com/,,,Sinclair
WDKY,"Lexington, KY",http://www.foxlexington.com/,,,Sinclair
KBOI,"Boise, ID",http://www.kboi2.com/,,,Sinclair
KRCG,"Columbia - Jefferson City, MO",http://krcgtv.com/,,,Sinclair
