paper name,city,url,rss url,
Chicago Tribune,"chicago, il",http://www.chicagotribune.com/,http://www.chicagotribune.com/rss2.0.xml,
Daily Southtown,"chicago, il",http://www.chicagotribune.com/suburbs/daily-southtown/,http://www.chicagotribune.com/suburbs/daily-southtown/rss2.0.xml,
Post-Tribune,"Merrillville, IA",http://www.chicagotribune.com/suburbs/post-tribune/,http://www.chicagotribune.com/suburbs/post-tribune/rss2.0.xml,
Naperville Sun,"Naperville, IL",http://www.chicagotribune.com/suburbs/naperville-sun/,http://www.chicagotribune.com/suburbs/naperville-sun/rss2.0.xml,
Aurora Beacon,"Aurora, IL",http://www.chicagotribune.com/suburbs/aurora-beacon-news/,http://www.chicagotribune.com/suburbs/aurora-beacon-news/rss2.0.xml,
Lake County News-Sun,"Gurnee, IL",http://www.chicagotribune.com/suburbs/lake-county-news-sun/,http://www.chicagotribune.com/suburbs/lake-county-news-sun/rss2.0.xml,
Pioneer Press,"Chicago, IL",http://www.chicagotribune.com/suburbs/,http://www.chicagotribune.com/suburbs/rss2.0.xml,
Hoy,"Chicago, il",http://www.chicagotribune.com/hoy/,http://www.chicagotribune.com/hoy/rss2.0.xml,
The Capital,"Annapolis, MD",http://www.capitalgazette.com/,http://www.capitalgazette.com/rss2.0.xml,
Maryland Gazette,"Annapolis, MD",http://www.capitalgazette.com/maryland_gazette/,http://www.capitalgazette.com/maryland_gazette/rss2.0.xml,
Bowie Blade,"Bowie, MD",http://www.capitalgazette.com/bowie_bladenews/,http://www.capitalgazette.com/bowie_bladenews/rss2.0.xml,
Crofton-West County Gazette,"Crofton, MD",,,
Baltimore Sun,"Baltimore, MD",,,
Baltimore City Paper,"Baltimore, MD",,,
Carroll County Times,"Westminster, MD",,,
Sun-Sentinel,"Fort Lauderdale, FL",,,
Boca Times,"Boca Raton, Florida; Highland Beach, Florida",,,
El Sentinel del Sur de la Florida ,"Fort Lauderdale, FL",,,
Florida Jewish Journal," north Palm Beach County; central Palm Beach County; South Palm Beach County, Florida; northBroward County; south Broward County / north Miami-Dade County)",,,
Delray Sun," Delray Beach, Florida; Gulf Stream, Florida",,,
Gateway Gazette ,"Boynton Beach, Florida; Lantana, Florida; Hypoluxo, Florida; Atlantis, Florida; South Palm Beach, Florida; Ocean Ridge, Florida; Manalapan, Florida; Briny Breezes, Florida",,,
Glades Gazette,"Miramar, Florida; Pembroke Pines, Florida; Weston, Florida; Southwest Ranches, Florida",,,
Pier Review,"Deerfield Beach, Florida; Pompano Beach, Florida; Lighthouse Point, Florida; Hillsboro Beach, Florida",,,
Riverside Times,"Fort Lauderdale, Florida; Oakland Park, Florida; Wilton Manors, Florida; Lauderdale-by-the-Sea, Florida; Sea Ranch Lakes, Florida",,,
Sawgrass Sun,"Plantation, Florida; Sunrise, Florida; Lauderhill, Florida; Tamarac, Florida; North Lauderdale, Florida; Lauderdale Lakes, Florida",,,
The Forum,"Coral Springs, Florida; Coconut Creek, Florida; Margate, Florida; North Lauderdale, Florida; Parkland, Florida",,,
The Trailblazer,"Davie, Florida; Cooper City, Florida; Southwest Ranches, Florida",,,
The Villager,"Wellington, Florida; Royal Palm Beach, Florida; Greenacres, Florida; Loxahatchee Groves, Florida; Westlake, Florida; The Acreage, Florida",,,
West Boca Times,"west Boca Raton, Florida",,,
Orlando Sentinel," Orlando, Florida",,,
El Sentinel,"Orlando, FL",,,
The Virginian-Pilot,"Norfolk, Virginia",,,
Style Weekly,"Richmond, VA",,,
AltDaily,"Norfolk, Virginia",,,
The Hartford Courant,"Hartford, CT",,,
The Morning Call,"Allentown, Pennsylvania",,,
Daily Press," Newport News, Virginia",,,
The Virginia Gazette,"Williamsburg, VA",,,
The Tidewater Review,,,,
The New York Daily News,"New York, NY",,,
,,,,
